file,alcoholism,vh_amn,hepatotoxic,THepatitis,hospital,surgery,gallstones,choledocholithotomy,injections,transfusion,ChHepatitis,sex,age,PBC,fibrosis,diabetes,obesity,Steatosis,Cirrhosis,Hyperbilirubinemia,triglycerides,RHepatitis,fatigue,bilirubin,itching,upper_pain,fat,pain_ruq,pressure_ruq,phosphatase,skin,ama,le_cells,joints,pain,proteins,edema,platelet,inr,bleeding,flatulence,alcohol,encephalopathy,urea,ascites,hepatomegaly,hepatalgia,density,ESR,alt,ast,amylase,ggtp,cholesterol,hbsag,hbsag_anti,anorexia,nausea,spleen,consciousness,spiders,jaundice,albumin,edge,irregular_liver,hbc_anti,hcv_anti,palms,hbeag,carcinoma
coded_hepar2_6_hamming_1500.txt,0.8676666666666667,0.8286666666666667,0.9173333333333332,0.9563333333333334,0.5576666666666666,0.575,0.9336666666666666,0.8716666666666667,0.6113333333333333,0.8426666666666667,0.804,0.5913333333333334,0.4333333333333333,0.8483333333333334,0.958,0.9666666666666668,0.933,0.907,0.929,0.9296666666666666,0.917,0.9753333333333334,0.5596666666666666,0.671,0.5886666666666667,0.607,0.7486666666666667,0.5736666666666667,0.6156666666666667,0.5393333333333333,0.633,0.7686666666666667,0.92,0.8886666666666667,0.7793333333333333,0.9843333333333332,0.87,0.6833333333333333,0.8666666666666667,0.8306666666666667,0.579,0.8836666666666667,0.97,0.889,0.872,0.6773333333333333,0.7703333333333333,0.5876666666666667,0.6906666666666667,0.4243333333333333,0.454,0.9706666666666668,0.6143333333333333,0.7563333333333333,0.911,0.9796666666666668,0.72,0.699,0.895,0.9776666666666668,0.7826666666666666,0.7286666666666667,0.7573333333333333,0.7323333333333333,0.8673333333333333,0.9066666666666666,0.998,0.831,0.9963333333333332,0.939
coded_hepar2_6_hamming_1500_simple.txt,0.8676666666666667,0.8286666666666667,0.9173333333333332,0.9563333333333334,0.5576666666666666,0.575,0.9336666666666666,0.8716666666666667,0.6113333333333333,0.8426666666666667,0.804,0.5913333333333334,0.4333333333333333,0.8483333333333334,0.958,0.9666666666666668,0.933,0.907,0.929,0.9296666666666666,0.917,0.9753333333333334,0.5596666666666666,0.671,0.5886666666666667,0.607,0.7486666666666667,0.5736666666666667,0.6156666666666667,0.5393333333333333,0.633,0.7686666666666667,0.92,0.8886666666666667,0.7793333333333333,0.9843333333333332,0.87,0.6833333333333333,0.8666666666666667,0.8306666666666667,0.579,0.8836666666666667,0.97,0.889,0.872,0.6773333333333333,0.7703333333333333,0.5876666666666667,0.6906666666666667,0.4243333333333333,0.454,0.9706666666666668,0.6143333333333333,0.7563333333333333,0.911,0.9796666666666668,0.72,0.699,0.895,0.9776666666666668,0.7826666666666666,0.7286666666666667,0.7573333333333333,0.7323333333333333,0.8673333333333333,0.9066666666666666,0.998,0.831,0.9963333333333332,0.939
coded_hepar2_6_hamming_1500_MI.txt,0.8673333333333333,0.8283333333333334,0.9173333333333332,0.9563333333333334,0.5323333333333333,0.5676666666666667,0.9336666666666666,0.8716666666666667,0.6076666666666667,0.8426666666666667,0.8016666666666666,0.5793333333333334,0.4056666666666667,0.8483333333333334,0.958,0.9666666666666668,0.933,0.907,0.929,0.9296666666666666,0.917,0.9753333333333334,0.5496666666666666,0.67,0.572,0.5993333333333334,0.7483333333333333,0.5686666666666667,0.6073333333333333,0.535,0.628,0.7686666666666667,0.92,0.8883333333333333,0.779,0.9843333333333332,0.8696666666666667,0.6813333333333333,0.866,0.8303333333333334,0.565,0.8836666666666667,0.97,0.889,0.87,0.676,0.7693333333333333,0.5823333333333334,0.6886666666666666,0.4103333333333333,0.4506666666666666,0.9706666666666668,0.6123333333333333,0.7543333333333333,0.911,0.9796666666666668,0.719,0.697,0.895,0.9776666666666668,0.7826666666666666,0.7276666666666667,0.7573333333333333,0.732,0.8666666666666667,0.9066666666666666,0.998,0.831,0.9963333333333332,0.939
coded_hepar2_6_hamming_1500_MI_simple.txt,0.8673333333333333,0.8283333333333334,0.9173333333333332,0.9563333333333334,0.5323333333333333,0.5676666666666667,0.9336666666666666,0.8716666666666667,0.6076666666666667,0.8426666666666667,0.8016666666666666,0.5793333333333334,0.4056666666666667,0.8483333333333334,0.958,0.9666666666666668,0.933,0.907,0.929,0.9296666666666666,0.917,0.9753333333333334,0.5496666666666666,0.67,0.572,0.5993333333333334,0.7483333333333333,0.5686666666666667,0.6073333333333333,0.535,0.628,0.7686666666666667,0.92,0.8883333333333333,0.779,0.9843333333333332,0.8696666666666667,0.6813333333333333,0.866,0.8303333333333334,0.565,0.8836666666666667,0.97,0.889,0.87,0.676,0.7693333333333333,0.5823333333333334,0.6886666666666666,0.4103333333333333,0.4506666666666666,0.9706666666666668,0.6123333333333333,0.7543333333333333,0.911,0.9796666666666668,0.719,0.697,0.895,0.9776666666666668,0.7826666666666666,0.7276666666666667,0.7573333333333333,0.732,0.8666666666666667,0.9066666666666666,0.998,0.831,0.9963333333333332,0.939
coded_hepar2_6_hamming_3000.txt,0.8676666666666667,0.8293333333333334,0.9173333333333332,0.9563333333333334,0.5566666666666666,0.5756666666666667,0.9336666666666666,0.8716666666666667,0.6133333333333333,0.843,0.8036666666666666,0.5943333333333334,0.4313333333333333,0.8483333333333334,0.9583333333333334,0.9666666666666668,0.933,0.907,0.929,0.9296666666666666,0.9176666666666666,0.9753333333333334,0.5623333333333334,0.6726666666666666,0.6443333333333333,0.6083333333333333,0.7486666666666667,0.5786666666666667,0.6156666666666667,0.5406666666666666,0.8,0.7686666666666667,0.92,0.8883333333333333,0.7803333333333333,0.9843333333333332,0.8696666666666667,0.6833333333333333,0.8666666666666667,0.8313333333333334,0.5773333333333334,0.884,0.97,0.8893333333333333,0.8703333333333333,0.6816666666666666,0.77,0.589,0.6956666666666667,0.4263333333333333,0.454,0.9706666666666668,0.6143333333333333,0.7566666666666667,0.9113333333333332,0.9796666666666668,0.72,0.7033333333333334,0.895,0.9776666666666668,0.7826666666666666,0.7483333333333333,0.7573333333333333,0.7326666666666667,0.8673333333333333,0.9066666666666666,0.998,0.832,0.9963333333333332,0.939
coded_hepar2_6_hamming_3000_simple.txt,0.8676666666666667,0.8293333333333334,0.9173333333333332,0.9563333333333334,0.5566666666666666,0.5756666666666667,0.9336666666666666,0.8716666666666667,0.6133333333333333,0.843,0.8036666666666666,0.5943333333333334,0.4313333333333333,0.8483333333333334,0.9583333333333334,0.9666666666666668,0.933,0.907,0.929,0.9296666666666666,0.9176666666666666,0.9753333333333334,0.5623333333333334,0.6726666666666666,0.6443333333333333,0.6083333333333333,0.7486666666666667,0.5786666666666667,0.6156666666666667,0.5406666666666666,0.8,0.7686666666666667,0.92,0.8883333333333333,0.7803333333333333,0.9843333333333332,0.8696666666666667,0.6833333333333333,0.8666666666666667,0.8313333333333334,0.5773333333333334,0.884,0.97,0.8893333333333333,0.8703333333333333,0.6816666666666666,0.77,0.589,0.6956666666666667,0.4263333333333333,0.454,0.9706666666666668,0.6143333333333333,0.7566666666666667,0.9113333333333332,0.9796666666666668,0.72,0.7033333333333334,0.895,0.9776666666666668,0.7826666666666666,0.7483333333333333,0.7573333333333333,0.7326666666666667,0.8673333333333333,0.9066666666666666,0.998,0.832,0.9963333333333332,0.939
coded_hepar2_6_hamming_3000_MI.txt,0.8673333333333333,0.8283333333333334,0.9173333333333332,0.9563333333333334,0.5323333333333333,0.5676666666666667,0.9336666666666666,0.8716666666666667,0.6076666666666667,0.8426666666666667,0.8016666666666666,0.5793333333333334,0.4056666666666667,0.8483333333333334,0.958,0.9666666666666668,0.933,0.907,0.929,0.9296666666666666,0.917,0.9753333333333334,0.5496666666666666,0.67,0.572,0.5993333333333334,0.7483333333333333,0.5686666666666667,0.6073333333333333,0.535,0.628,0.7686666666666667,0.92,0.8883333333333333,0.779,0.9843333333333332,0.8696666666666667,0.6813333333333333,0.866,0.8303333333333334,0.565,0.8836666666666667,0.97,0.889,0.87,0.676,0.7693333333333333,0.5823333333333334,0.6886666666666666,0.4103333333333333,0.4506666666666666,0.9706666666666668,0.6123333333333333,0.7543333333333333,0.911,0.9796666666666668,0.719,0.697,0.895,0.9776666666666668,0.7826666666666666,0.7276666666666667,0.7573333333333333,0.732,0.8666666666666667,0.9066666666666666,0.998,0.831,0.9963333333333332,0.939
coded_hepar2_6_hamming_3000_MI_simple.txt,0.8673333333333333,0.8283333333333334,0.9173333333333332,0.9563333333333334,0.5323333333333333,0.5676666666666667,0.9336666666666666,0.8716666666666667,0.6076666666666667,0.8426666666666667,0.8016666666666666,0.5793333333333334,0.4056666666666667,0.8483333333333334,0.958,0.9666666666666668,0.933,0.907,0.929,0.9296666666666666,0.917,0.9753333333333334,0.5496666666666666,0.67,0.572,0.5993333333333334,0.7483333333333333,0.5686666666666667,0.6073333333333333,0.535,0.628,0.7686666666666667,0.92,0.8883333333333333,0.779,0.9843333333333332,0.8696666666666667,0.6813333333333333,0.866,0.8303333333333334,0.565,0.8836666666666667,0.97,0.889,0.87,0.676,0.7693333333333333,0.5823333333333334,0.6886666666666666,0.4103333333333333,0.4506666666666666,0.9706666666666668,0.6123333333333333,0.7543333333333333,0.911,0.9796666666666668,0.719,0.697,0.895,0.9776666666666668,0.7826666666666666,0.7276666666666667,0.7573333333333333,0.732,0.8666666666666667,0.9066666666666666,0.998,0.831,0.9963333333333332,0.939
coded_hepar2_6_mostly_1500.txt,0.8676666666666667,0.8286666666666667,0.9173333333333332,0.9563333333333334,0.5576666666666666,0.575,0.8623333333333333,0.8716666666666667,0.6113333333333333,0.8426666666666667,0.804,0.5913333333333334,0.4333333333333333,0.6823333333333333,0.958,0.9666666666666668,0.933,0.907,0.929,0.9296666666666666,0.917,0.9753333333333334,0.5596666666666666,0.671,0.5886666666666667,0.607,0.7486666666666667,0.5736666666666667,0.6156666666666667,0.5393333333333333,0.633,0.775,0.92,0.8886666666666667,0.7793333333333333,0.9843333333333332,0.87,0.6833333333333333,0.8666666666666667,0.8306666666666667,0.579,0.8836666666666667,0.97,0.889,0.872,0.6773333333333333,0.7703333333333333,0.5876666666666667,0.6906666666666667,0.4243333333333333,0.454,0.9706666666666668,0.614,0.7546666666666667,0.911,0.9796666666666668,0.72,0.699,0.895,0.9776666666666668,0.7826666666666666,0.7286666666666667,0.7573333333333333,0.7323333333333333,0.8673333333333333,0.9066666666666666,0.998,0.831,0.9963333333333332,0.939
coded_hepar2_6_mostly_1500_simple.txt,0.8676666666666667,0.8286666666666667,0.9173333333333332,0.9563333333333334,0.5576666666666666,0.575,0.9336666666666666,0.8716666666666667,0.6113333333333333,0.8426666666666667,0.804,0.5913333333333334,0.4333333333333333,0.8483333333333334,0.958,0.9666666666666668,0.933,0.907,0.929,0.9296666666666666,0.917,0.9753333333333334,0.5596666666666666,0.671,0.5886666666666667,0.607,0.7486666666666667,0.5736666666666667,0.6156666666666667,0.5393333333333333,0.633,0.7686666666666667,0.92,0.8886666666666667,0.7793333333333333,0.9843333333333332,0.87,0.6833333333333333,0.8666666666666667,0.8306666666666667,0.579,0.8836666666666667,0.97,0.889,0.872,0.6773333333333333,0.7703333333333333,0.5876666666666667,0.6906666666666667,0.4243333333333333,0.454,0.9706666666666668,0.6123333333333333,0.7546666666666667,0.911,0.9796666666666668,0.72,0.699,0.895,0.9776666666666668,0.7826666666666666,0.7286666666666667,0.7573333333333333,0.7323333333333333,0.8673333333333333,0.9066666666666666,0.998,0.831,0.9963333333333332,0.939
coded_hepar2_6_mostly_1500_MI.txt,0.8673333333333333,0.8283333333333334,0.9173333333333332,0.9563333333333334,0.5323333333333333,0.5676666666666667,0.862,0.8716666666666667,0.6076666666666667,0.8426666666666667,0.8016666666666666,0.5793333333333334,0.4056666666666667,0.625,0.958,0.9666666666666668,0.933,0.907,0.929,0.9296666666666666,0.917,0.9753333333333334,0.5496666666666666,0.67,0.572,0.5993333333333334,0.7483333333333333,0.5686666666666667,0.6073333333333333,0.535,0.628,0.7686666666666667,0.92,0.8883333333333333,0.779,0.9843333333333332,0.8696666666666667,0.6813333333333333,0.866,0.8303333333333334,0.565,0.8836666666666667,0.97,0.889,0.87,0.676,0.7693333333333333,0.5823333333333334,0.6886666666666666,0.4103333333333333,0.4506666666666666,0.9706666666666668,0.6123333333333333,0.7543333333333333,0.911,0.9796666666666668,0.719,0.697,0.895,0.9776666666666668,0.7826666666666666,0.7276666666666667,0.7573333333333333,0.732,0.8666666666666667,0.9066666666666666,0.998,0.831,0.9963333333333332,0.939
coded_hepar2_6_mostly_1500_MI_simple.txt,0.8673333333333333,0.8283333333333334,0.9173333333333332,0.9563333333333334,0.5323333333333333,0.5676666666666667,0.9336666666666666,0.8716666666666667,0.6076666666666667,0.8426666666666667,0.8016666666666666,0.5793333333333334,0.4056666666666667,0.8483333333333334,0.958,0.9666666666666668,0.933,0.907,0.929,0.9296666666666666,0.917,0.9753333333333334,0.5496666666666666,0.67,0.572,0.5993333333333334,0.7483333333333333,0.5686666666666667,0.6073333333333333,0.535,0.628,0.7686666666666667,0.92,0.8883333333333333,0.779,0.9843333333333332,0.8696666666666667,0.6813333333333333,0.866,0.8303333333333334,0.565,0.8836666666666667,0.97,0.889,0.87,0.676,0.7693333333333333,0.5823333333333334,0.6886666666666666,0.4103333333333333,0.4506666666666666,0.9706666666666668,0.6123333333333333,0.7543333333333333,0.911,0.9796666666666668,0.719,0.697,0.895,0.9776666666666668,0.7826666666666666,0.7276666666666667,0.7573333333333333,0.732,0.8666666666666667,0.9066666666666666,0.998,0.831,0.9963333333333332,0.939
coded_hepar2_6_mostly_3000.txt,0.8676666666666667,0.8293333333333334,0.9173333333333332,0.9563333333333334,0.5566666666666666,0.5756666666666667,0.865,0.872,0.6133333333333333,0.843,0.8036666666666666,0.5943333333333334,0.4313333333333333,0.704,0.9583333333333334,0.9666666666666668,0.933,0.907,0.929,0.9296666666666666,0.9176666666666666,0.9753333333333334,0.5623333333333334,0.6726666666666666,0.6443333333333333,0.6083333333333333,0.7486666666666667,0.5786666666666667,0.6156666666666667,0.5406666666666666,0.8,0.7546666666666667,0.92,0.8883333333333333,0.7803333333333333,0.9843333333333332,0.8696666666666667,0.6833333333333333,0.8666666666666667,0.8313333333333334,0.5773333333333334,0.884,0.97,0.8893333333333333,0.8703333333333333,0.6816666666666666,0.77,0.589,0.6956666666666667,0.4263333333333333,0.454,0.9706666666666668,0.614,0.7566666666666667,0.9113333333333332,0.9796666666666668,0.72,0.7033333333333334,0.895,0.9776666666666668,0.7826666666666666,0.7483333333333333,0.7573333333333333,0.7326666666666667,0.8673333333333333,0.9066666666666666,0.998,0.832,0.9963333333333332,0.939
coded_hepar2_6_mostly_3000_simple.txt,0.8676666666666667,0.8293333333333334,0.9173333333333332,0.9563333333333334,0.5566666666666666,0.5756666666666667,0.9336666666666666,0.8716666666666667,0.6133333333333333,0.843,0.8036666666666666,0.5943333333333334,0.4313333333333333,0.8483333333333334,0.9583333333333334,0.9666666666666668,0.933,0.907,0.929,0.9296666666666666,0.9176666666666666,0.9753333333333334,0.5623333333333334,0.6726666666666666,0.6443333333333333,0.6083333333333333,0.7486666666666667,0.5786666666666667,0.6156666666666667,0.5406666666666666,0.8,0.7686666666666667,0.92,0.8883333333333333,0.7803333333333333,0.9843333333333332,0.8696666666666667,0.6833333333333333,0.8666666666666667,0.8313333333333334,0.5773333333333334,0.884,0.97,0.8893333333333333,0.8703333333333333,0.6816666666666666,0.77,0.589,0.6956666666666667,0.4263333333333333,0.454,0.9706666666666668,0.6123333333333333,0.7566666666666667,0.9113333333333332,0.9796666666666668,0.72,0.7033333333333334,0.895,0.9776666666666668,0.7826666666666666,0.7483333333333333,0.7573333333333333,0.7326666666666667,0.8673333333333333,0.9066666666666666,0.998,0.832,0.9963333333333332,0.939
coded_hepar2_6_mostly_3000_MI.txt,0.8673333333333333,0.8283333333333334,0.9173333333333332,0.9563333333333334,0.5323333333333333,0.5676666666666667,0.862,0.8716666666666667,0.6076666666666667,0.8426666666666667,0.8016666666666666,0.5793333333333334,0.4056666666666667,0.625,0.958,0.9666666666666668,0.933,0.907,0.929,0.9296666666666666,0.917,0.9753333333333334,0.5496666666666666,0.67,0.572,0.5993333333333334,0.7483333333333333,0.5686666666666667,0.6073333333333333,0.535,0.628,0.7686666666666667,0.92,0.8883333333333333,0.779,0.9843333333333332,0.8696666666666667,0.6813333333333333,0.866,0.8303333333333334,0.565,0.8836666666666667,0.97,0.889,0.87,0.676,0.7693333333333333,0.5823333333333334,0.6886666666666666,0.4103333333333333,0.4506666666666666,0.9706666666666668,0.6123333333333333,0.7543333333333333,0.911,0.9796666666666668,0.719,0.697,0.895,0.9776666666666668,0.7826666666666666,0.7276666666666667,0.7573333333333333,0.732,0.8666666666666667,0.9066666666666666,0.998,0.831,0.9963333333333332,0.939
coded_hepar2_6_mostly_3000_MI_simple.txt,0.8673333333333333,0.8283333333333334,0.9173333333333332,0.9563333333333334,0.5323333333333333,0.5676666666666667,0.9336666666666666,0.8716666666666667,0.6076666666666667,0.8426666666666667,0.8016666666666666,0.5793333333333334,0.4056666666666667,0.8483333333333334,0.958,0.9666666666666668,0.933,0.907,0.929,0.9296666666666666,0.917,0.9753333333333334,0.5496666666666666,0.67,0.572,0.5993333333333334,0.7483333333333333,0.5686666666666667,0.6073333333333333,0.535,0.628,0.7686666666666667,0.92,0.8883333333333333,0.779,0.9843333333333332,0.8696666666666667,0.6813333333333333,0.866,0.8303333333333334,0.565,0.8836666666666667,0.97,0.889,0.87,0.676,0.7693333333333333,0.5823333333333334,0.6886666666666666,0.4103333333333333,0.4506666666666666,0.9706666666666668,0.6123333333333333,0.7543333333333333,0.911,0.9796666666666668,0.719,0.697,0.895,0.9776666666666668,0.7826666666666666,0.7276666666666667,0.7573333333333333,0.732,0.8666666666666667,0.9066666666666666,0.998,0.831,0.9963333333333332,0.939
coded_hepar2_7_hamming_1500.txt,0.8676666666666667,0.8286666666666667,0.9173333333333332,0.9563333333333334,0.5576666666666666,0.575,0.9336666666666666,0.8716666666666667,0.6113333333333333,0.8426666666666667,0.804,0.5913333333333334,0.4333333333333333,0.8483333333333334,0.958,0.9666666666666668,0.933,0.907,0.929,0.9296666666666666,0.917,0.9753333333333334,0.5596666666666666,0.671,0.5886666666666667,0.607,0.7486666666666667,0.5736666666666667,0.6156666666666667,0.5393333333333333,0.633,0.7686666666666667,0.92,0.8886666666666667,0.7793333333333333,0.9843333333333332,0.87,0.6833333333333333,0.8666666666666667,0.8306666666666667,0.579,0.8836666666666667,0.97,0.889,0.872,0.6773333333333333,0.7703333333333333,0.5876666666666667,0.6906666666666667,0.4243333333333333,0.454,0.9706666666666668,0.6143333333333333,0.7563333333333333,0.911,0.9796666666666668,0.72,0.699,0.895,0.9776666666666668,0.7826666666666666,0.7286666666666667,0.7573333333333333,0.7323333333333333,0.8673333333333333,0.9066666666666666,0.998,0.831,0.9963333333333332,0.939
coded_hepar2_7_hamming_1500_simple.txt,0.8676666666666667,0.8286666666666667,0.9173333333333332,0.9563333333333334,0.5576666666666666,0.575,0.9336666666666666,0.8716666666666667,0.6113333333333333,0.8426666666666667,0.804,0.5913333333333334,0.4333333333333333,0.8483333333333334,0.958,0.9666666666666668,0.933,0.907,0.929,0.9296666666666666,0.917,0.9753333333333334,0.5596666666666666,0.671,0.5886666666666667,0.607,0.7486666666666667,0.5736666666666667,0.6156666666666667,0.5393333333333333,0.633,0.7686666666666667,0.92,0.8886666666666667,0.7793333333333333,0.9843333333333332,0.87,0.6833333333333333,0.8666666666666667,0.8306666666666667,0.579,0.8836666666666667,0.97,0.889,0.872,0.6773333333333333,0.7703333333333333,0.5876666666666667,0.6906666666666667,0.4243333333333333,0.454,0.9706666666666668,0.6143333333333333,0.7563333333333333,0.911,0.9796666666666668,0.72,0.699,0.895,0.9776666666666668,0.7826666666666666,0.7286666666666667,0.7573333333333333,0.7323333333333333,0.8673333333333333,0.9066666666666666,0.998,0.831,0.9963333333333332,0.939
coded_hepar2_7_hamming_1500_MI.txt,0.8673333333333333,0.8283333333333334,0.9173333333333332,0.9563333333333334,0.5323333333333333,0.5676666666666667,0.9336666666666666,0.8716666666666667,0.6076666666666667,0.8426666666666667,0.8016666666666666,0.5793333333333334,0.4056666666666667,0.8483333333333334,0.958,0.9666666666666668,0.933,0.907,0.929,0.9296666666666666,0.917,0.9753333333333334,0.5496666666666666,0.67,0.572,0.5993333333333334,0.7483333333333333,0.5686666666666667,0.6073333333333333,0.535,0.628,0.7686666666666667,0.92,0.8883333333333333,0.779,0.9843333333333332,0.8696666666666667,0.6813333333333333,0.866,0.8303333333333334,0.565,0.8836666666666667,0.97,0.889,0.87,0.676,0.7693333333333333,0.5823333333333334,0.6886666666666666,0.4103333333333333,0.4506666666666666,0.9706666666666668,0.6123333333333333,0.7543333333333333,0.911,0.9796666666666668,0.719,0.697,0.895,0.9776666666666668,0.7826666666666666,0.7276666666666667,0.7573333333333333,0.732,0.8666666666666667,0.9066666666666666,0.998,0.831,0.9963333333333332,0.939
coded_hepar2_7_hamming_1500_MI_simple.txt,0.8673333333333333,0.8283333333333334,0.9173333333333332,0.9563333333333334,0.5323333333333333,0.5676666666666667,0.9336666666666666,0.8716666666666667,0.6076666666666667,0.8426666666666667,0.8016666666666666,0.5793333333333334,0.4056666666666667,0.8483333333333334,0.958,0.9666666666666668,0.933,0.907,0.929,0.9296666666666666,0.917,0.9753333333333334,0.5496666666666666,0.67,0.572,0.5993333333333334,0.7483333333333333,0.5686666666666667,0.6073333333333333,0.535,0.628,0.7686666666666667,0.92,0.8883333333333333,0.779,0.9843333333333332,0.8696666666666667,0.6813333333333333,0.866,0.8303333333333334,0.565,0.8836666666666667,0.97,0.889,0.87,0.676,0.7693333333333333,0.5823333333333334,0.6886666666666666,0.4103333333333333,0.4506666666666666,0.9706666666666668,0.6123333333333333,0.7543333333333333,0.911,0.9796666666666668,0.719,0.697,0.895,0.9776666666666668,0.7826666666666666,0.7276666666666667,0.7573333333333333,0.732,0.8666666666666667,0.9066666666666666,0.998,0.831,0.9963333333333332,0.939
coded_hepar2_7_hamming_3000.txt,0.8676666666666667,0.8293333333333334,0.9173333333333332,0.9563333333333334,0.5566666666666666,0.5756666666666667,0.9336666666666666,0.8716666666666667,0.6133333333333333,0.843,0.8036666666666666,0.5943333333333334,0.4313333333333333,0.8483333333333334,0.9583333333333334,0.9666666666666668,0.933,0.907,0.929,0.9296666666666666,0.9176666666666666,0.9753333333333334,0.5623333333333334,0.6726666666666666,0.6443333333333333,0.6083333333333333,0.7486666666666667,0.5786666666666667,0.6156666666666667,0.5406666666666666,0.8,0.7686666666666667,0.92,0.8883333333333333,0.7803333333333333,0.9843333333333332,0.8696666666666667,0.6833333333333333,0.8666666666666667,0.8313333333333334,0.5773333333333334,0.884,0.97,0.8893333333333333,0.8703333333333333,0.6816666666666666,0.77,0.589,0.6956666666666667,0.4263333333333333,0.454,0.9706666666666668,0.6143333333333333,0.7566666666666667,0.9113333333333332,0.9796666666666668,0.72,0.7033333333333334,0.895,0.9776666666666668,0.7826666666666666,0.7483333333333333,0.7573333333333333,0.7326666666666667,0.8673333333333333,0.9066666666666666,0.998,0.832,0.9963333333333332,0.939
